('WK00000496', 'K3S0001007', 'SOUTH SUMATERA', 'PT MEDCO E&P INDONESIA', 'EKSPLOITASI', 'PSC', '1963-09-25', '2033-11-27', 'AKTIF'),
('WK00000497', 'K3S0001774', 'SOUTH ANDAMAN', 'MUBADALA ENERGY (SOUTH ANDAMAN) RSC. LTD.', 'EKSPLORASI', 'GS', '2019-02-28', '2049-02-27', 'AKTIF'),
('WK00000498', 'K3S0001537', 'SOUTH EAST JAMBI', 'REPSOL EXPLORACIÓN SOUTH EAST JAMBI B.V.', 'EKSPLORASI', 'GS', '2018-07-30', '2048-07-29', 'AKTIF'),
('WK00000499', 'K3S0001515', 'SOUTH JAMBI B', 'JINDI SOUTH JAMBI B CO. LTD', 'EKSPLOITASI', 'GS', '2020-01-26', '2040-01-25', 'AKTIF'),
('WK00000500', 'K3S0001538', 'SOUTH SAKAKEMANG', 'REPSOL EXPLORACIÓN SOUTH SAKAKEMANG S.L.', 'EKSPLORASI', 'GS', '2019-02-28', '2049-02-27', 'AKTIF'),
('WK00000503', 'K3S0001536', 'WEST YAMDENA', 'PT SAKA ENERGI YAMDENA BARAT', 'EKSPLORASI', 'GS', '2018-05-16', '2048-05-15', 'AKTIF'),
('WK00000505', 'K3S0001544', 'ANAMBAS', 'KUFPEC INDONESIA (ANAMBAS) B.V.', 'EKSPLORASI', 'GS', '2019-06-10', '2049-06-09', 'AKTIF'),
('WK00000507', 'K3S0001548', 'WEST GANAL', 'ENI WEST GANAL LTD.', 'EKSPLOITASI', 'GS', '2020-01-26', '2050-01-25', 'AKTIF'),
('WK00000509', 'K3S0001746', 'LIMAN', 'HUSKY LIMAN LTD.', 'EKSPLORASI', 'PSC', '2021-12-22', '2051-12-21', 'AKTIF'),
('WK00000511', 'K3S0001751', 'SEPANJANG & PAGERUNGAN UTARA', 'PT MGA UTAMA ENERGI', 'EKSPLOITASI', 'GS', '2022-01-12', '2042-01-11', 'AKTIF'),
('WK00000512', 'K3S0001765', 'AGUNG I', 'BP AGUNG I LTD.', 'EKSPLORASI', 'PSC', '2022-06-20', '2052-06-19', 'AKTIF'),
('WK00000515', 'K3S0001768', 'BERTAK PIJAR PUYUH', 'SSY PETROLEUM PTE. LTD.', 'EKSPLOITASI', 'PSC', '2022-07-19', '2042-07-18', 'AKTIF'),
('WK00000516', 'K3S0001769', 'BAWEAN', 'PT PRIMA ENERGI BAWEAN', 'EKSPLOITASI', 'PSC', '2022-12-15', '2042-12-14', 'AKTIF'),
('WK00000517', 'K3S0001777', 'JABUNG TENGAH', 'PT CIPTA NIAGA GEMILANG', 'EKSPLORASI', 'PSC', '2023-01-26', '2053-01-25', 'AKTIF'),
('WK00000518', 'K3S0001779', 'PAUS', 'BLUE SKY PAUS LTD.', 'EKSPLORASI', 'GS', '2023-03-13', '2053-03-12', 'AKTIF'),
('WK00000519', 'K3S0001780', 'WEST KAMPAR', 'PT APG WESTKAMPAR INDONESIA', 'EKSPLOITASI', 'PSC', '2023-01-26', '2043-01-25', 'AKTIF'),
('WK00000024', 'K3S0001588', 'BANGKANAI', 'MEDCO ENERGI BANGKANAI LTD.', 'EKSPLOITASI', 'PSC', '2003-12-30', '2033-12-29', 'AKTIF'),
('WK00000030', 'K3S0000974', 'BATANGHARI', 'PT GREGORY GAS PERKASA', 'EKSPLOITASI', 'PSC', '2007-01-16', '2037-01-15', 'AKTIF'),
('WK00000041', 'K3S0000294', 'BENTU', 'EMP BENTU LTD.', 'EKSPLOITASI', 'PSC', '1991-05-20', '2041-05-19', 'AKTIF'),
('WK00000051', 'K3S0000134', 'BOHOROK', 'BUKIT ENERGY BOHOROK PTE. LTD.', 'EKSPLORASI', 'PSC', '2012-07-20', '2042-07-19', 'AKTIF'),
('WK00000063', 'K3S0000541', 'BULU', 'KRISENERGY (SATRIA) LTD.', 'EKSPLOITASI', 'PSC', '2003-10-14', '2033-10-13', 'AKTIF'),
('WK00000086', 'K3S0001487', 'DUYUNG', 'WEST NATUNA EXPLORATION LTD.', 'EKSPLOITASI', 'GS', '2007-01-16', '2037-01-15', 'AKTIF'),
('WK00000103', 'K3S0000311', 'EAST SEPINGGAN', 'ENI EAST SEPINGGAN LTD.', 'EKSPLOITASI', 'GS', '2012-07-20', '2042-07-19', 'AKTIF'),
('WK00000113', 'K3S0000296', 'GEBANG', 'EMP GEBANG LTD.', 'EKSPLOITASI', 'PSC', '1985-11-29', '2035-11-27', 'AKTIF'),
('WK00000120', 'K3S0000918', 'GMB BANGKANAI III', 'PT BANGKANAI ENERGI RESOURCES', 'EKSPLORASI', 'PSC', '2011-12-19', '2041-12-18', 'AKTIF'),
('WK00000128', 'K3S0000909', 'GMB BELIDA', 'PT ANDALAS METANA ENERGI & PT SELE RAYA RESOURCE', 'EKSPLORASI', 'PSC', '2011-08-01', '2041-07-31', 'AKTIF'),
